week,site,detection,cases,detect_tf
38,90U,1,0,TRUE
38,Campus Total,1,3,TRUE
38,DMS,0,1,FALSE
38,LPR,0,0,FALSE
38,MNT,0,1,FALSE
38,MRT,0,0,FALSE
38,TBT,0,0,FALSE
39,90U,1,0,TRUE
39,Campus Total,2,2,TRUE
39,DMS,0,0,FALSE
39,LPR,0,0,FALSE
39,MNT,1,0,TRUE
39,MRT,0,0,FALSE
39,TBT,0,0,FALSE
40,90U,1,0,TRUE
40,Campus Total,2,2,TRUE
40,DMS,0,0,FALSE
40,LPR,0,0,FALSE
40,MNT,0,1,FALSE
40,MRT,1,0,TRUE
40,TBT,0,0,FALSE
41,90U,0,0,FALSE
41,Campus Total,0,3,FALSE
41,DMS,0,0,FALSE
41,LPR,0,0,FALSE
41,MNT,0,0,FALSE
41,MRT,0,0,FALSE
41,TBT,0,1,FALSE
42,90U,0,0,FALSE
42,Campus Total,0,0,FALSE
42,DMS,0,0,FALSE
42,LPR,0,0,FALSE
42,MNT,0,0,FALSE
42,MRT,0,0,FALSE
42,TBT,0,0,FALSE
43,90U,1,0,TRUE
43,Campus Total,1,0,TRUE
43,DMS,0,0,FALSE
43,LPR,0,0,FALSE
43,MNT,0,0,FALSE
43,MRT,0,0,FALSE
43,TBT,0,0,FALSE
44,90U,0,0,FALSE
44,Campus Total,0,0,FALSE
44,DMS,0,0,FALSE
44,LPR,0,0,FALSE
44,MNT,0,0,FALSE
44,MRT,0,0,FALSE
44,TBT,0,0,FALSE
45,90U,0,0,FALSE
45,Campus Total,5,4,TRUE
45,DMS,1,0,TRUE
45,LPR,0,0,FALSE
45,MNT,2,0,TRUE
45,MRT,2,1,TRUE
45,TBT,0,1,FALSE
46,90U,0,0,FALSE
46,Campus Total,0,4,FALSE
46,DMS,0,0,FALSE
46,LPR,0,0,FALSE
46,MNT,0,2,FALSE
46,MRT,0,1,FALSE
46,TBT,0,0,FALSE
47,90U,0,0,FALSE
47,Campus Total,0,1,FALSE
47,DMS,0,0,FALSE
47,LPR,0,0,FALSE
47,MNT,0,0,FALSE
47,MRT,0,0,FALSE
47,TBT,0,0,FALSE
48,90U,0,0,FALSE
48,Campus Total,1,0,TRUE
48,DMS,0,0,FALSE
48,LPR,0,0,FALSE
48,MNT,0,0,FALSE
48,MRT,1,0,TRUE
48,TBT,0,0,FALSE
49,90U,0,0,FALSE
49,Campus Total,0,0,FALSE
49,DMS,0,0,FALSE
49,LPR,0,0,FALSE
49,MNT,0,0,FALSE
49,MRT,0,0,FALSE
49,TBT,0,0,FALSE
